rcaCode,rcaMethod54,rcaPlants54,rcaPlantsCapacity54,rcaNIncoming54,rcaNDischarged54,rcaPIncoming54,rcaPDischarged54,countryCode,snapshotId
FRSA_CM_06318,M,10,133900,343.7,23.76,37.79,4.09,FR,72204
FRSA_RI_06318,M,10,133900,343.7,23.76,37.79,4.09,FR,72204
