rcaCode,rcaName,rcaZType,rcaSpZTyp,rcaParameterN,rcaParameterP,rcaParameterM,rcaParameterOther,rcaArt58DateDesign,rcaArt58DateDesign_original,rcaDateArt58,rcaDateArt58_original,rcaRemarks,rcaHyperlink,rcaBeginLife,rcaBeginLife_original,rcaEndLife,rcaEndLife_original,countryCode,snapshotId
FRSA_CM_06318,Bassin versant du Gapeau,UWWCMSA,A54,false,true,false,false,,,,,was FR_SA_CM_06318,,2010-06-04,2010-06-04,,,FR,72204
FRSA_RI_06318,Bassin versant du Gapeau,UWWRISA,A54,false,true,false,false,,,,,was FR_SA_RI_06318,,2010-06-04,2010-06-04,,,FR,72204
