rcaCode,rcaParameter,rcaDateDesignation,rcaDateDesignation_original,rcaStartDate,rcaStartDate_original,rcaCRelevantDirective,rcaCIDOtherDirective,rcaCDateOtherDirective,rcaCDateOtherDirective_original,countryCode,snapshotId
FRSA_RI_06318,aP,2010-06-04,2010-06-04,2017-06-04,2017-06-04,,,,,FR,72204
FRSA_CM_06318,aP,2010-06-04,2010-06-04,2017-06-04,2017-06-04,,,,,FR,72204
